"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 06 22:26:15 GMT 2025","Wed Aug 06 22:27:07 GMT 2025","51575","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Aug 06 22:25:56 GMT 2025","Wed Aug 06 22:25:57 GMT 2025","544","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Wed Aug 06 22:25:28 GMT 2025","Wed Aug 06 22:25:32 GMT 2025","4493","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Wed Aug 06 22:23:19 GMT 2025","Wed Aug 06 22:24:15 GMT 2025","56496","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Aug 06 22:25:55 GMT 2025","Wed Aug 06 22:25:56 GMT 2025","476","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Wed Aug 06 22:26:49 GMT 2025","Wed Aug 06 22:27:17 GMT 2025","28595","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Aug 06 22:26:03 GMT 2025","Wed Aug 06 22:26:03 GMT 2025","379","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Wed Aug 06 22:26:23 GMT 2025","Wed Aug 06 22:26:43 GMT 2025","20096","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Aug 06 22:25:57 GMT 2025","Wed Aug 06 22:26:02 GMT 2025","5093","API tests","API tests","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Wed Aug 06 22:25:23 GMT 2025","Wed Aug 06 22:26:31 GMT 2025","68296","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Wed Aug 06 22:25:23 GMT 2025","Wed Aug 06 22:26:22 GMT 2025","59197","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Aug 06 22:27:10 GMT 2025","Wed Aug 06 22:27:25 GMT 2025","15565","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Wed Aug 06 22:25:54 GMT 2025","Wed Aug 06 22:25:58 GMT 2025","4049","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Aug 06 22:26:01 GMT 2025","Wed Aug 06 22:26:01 GMT 2025","159","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Wed Aug 06 22:26:02 GMT 2025","Wed Aug 06 22:26:03 GMT 2025","390","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Wed Aug 06 22:25:23 GMT 2025","Wed Aug 06 22:26:35 GMT 2025","72573","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Aug 06 22:25:58 GMT 2025","Wed Aug 06 22:26:06 GMT 2025","8377","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Wed Aug 06 22:26:02 GMT 2025","Wed Aug 06 22:26:02 GMT 2025","549","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Wed Aug 06 22:26:16 GMT 2025","Wed Aug 06 22:27:14 GMT 2025","58314","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Wed Aug 06 22:26:01 GMT 2025","Wed Aug 06 22:26:02 GMT 2025","441","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Wed Aug 06 22:25:51 GMT 2025","Wed Aug 06 22:25:54 GMT 2025","2499","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Wed Aug 06 22:25:51 GMT 2025","Wed Aug 06 22:25:58 GMT 2025","6717","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Wed Aug 06 22:25:51 GMT 2025","Wed Aug 06 22:25:54 GMT 2025","2729","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
