"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 11:50:10 GMT 2025","Sat Aug 09 11:50:29 GMT 2025","19185","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Aug 09 11:49:31 GMT 2025","Sat Aug 09 11:49:31 GMT 2025","552","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Sat Aug 09 11:49:28 GMT 2025","Sat Aug 09 11:50:45 GMT 2025","77043","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Aug 09 11:49:27 GMT 2025","Sat Aug 09 11:49:28 GMT 2025","497","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sat Aug 09 11:49:15 GMT 2025","Sat Aug 09 11:50:21 GMT 2025","65953","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Aug 09 11:46:56 GMT 2025","Sat Aug 09 11:47:53 GMT 2025","56685","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Aug 09 11:49:28 GMT 2025","Sat Aug 09 11:49:33 GMT 2025","4661","API tests","API tests","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Sat Aug 09 11:49:15 GMT 2025","Sat Aug 09 11:50:09 GMT 2025","54118","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Aug 09 11:49:24 GMT 2025","Sat Aug 09 11:49:27 GMT 2025","2729","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Aug 09 11:49:20 GMT 2025","Sat Aug 09 11:49:23 GMT 2025","3433","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sat Aug 09 11:50:33 GMT 2025","Sat Aug 09 11:50:57 GMT 2025","23466","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Aug 09 11:49:20 GMT 2025","Sat Aug 09 11:49:27 GMT 2025","6838","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Sat Aug 09 11:49:29 GMT 2025","Sat Aug 09 11:49:29 GMT 2025","257","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Sat Aug 09 11:49:27 GMT 2025","Sat Aug 09 11:49:27 GMT 2025","242","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Sat Aug 09 11:50:47 GMT 2025","Sat Aug 09 11:51:02 GMT 2025","15054","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sat Aug 09 11:49:09 GMT 2025","Sat Aug 09 11:49:13 GMT 2025","4729","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sat Aug 09 11:49:28 GMT 2025","Sat Aug 09 11:50:49 GMT 2025","81707","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Aug 09 11:49:20 GMT 2025","Sat Aug 09 11:49:33 GMT 2025","13236","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Sat Aug 09 11:49:29 GMT 2025","Sat Aug 09 11:49:29 GMT 2025","172","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Sat Aug 09 11:49:30 GMT 2025","Sat Aug 09 11:49:31 GMT 2025","569","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Sat Aug 09 11:49:15 GMT 2025","Sat Aug 09 11:50:23 GMT 2025","68143","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Aug 09 11:49:28 GMT 2025","Sat Aug 09 11:50:31 GMT 2025","63610","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Aug 09 11:49:29 GMT 2025","Sat Aug 09 11:49:30 GMT 2025","567","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Sat Aug 09 11:49:27 GMT 2025","Sat Aug 09 11:49:27 GMT 2025","347","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Aug 09 11:50:22 GMT 2025","Sat Aug 09 11:50:34 GMT 2025","11531","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sat Aug 09 11:49:27 GMT 2025","Sat Aug 09 11:49:27 GMT 2025","574","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Sat Aug 09 11:49:28 GMT 2025","Sat Aug 09 11:49:28 GMT 2025","700","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
