"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 15:56:34 GMT 2025","Thu Aug 07 15:56:34 GMT 2025","586","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Thu Aug 07 15:56:34 GMT 2025","Thu Aug 07 15:56:34 GMT 2025","439","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Thu Aug 07 15:56:48 GMT 2025","Thu Aug 07 15:57:18 GMT 2025","30309","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Aug 07 15:56:57 GMT 2025","Thu Aug 07 15:57:17 GMT 2025","19702","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Aug 07 15:56:29 GMT 2025","Thu Aug 07 15:56:38 GMT 2025","8176","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Thu Aug 07 15:56:02 GMT 2025","Thu Aug 07 15:57:13 GMT 2025","71031","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Thu Aug 07 15:57:20 GMT 2025","Thu Aug 07 15:57:50 GMT 2025","29870","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Aug 07 15:56:32 GMT 2025","Thu Aug 07 15:56:33 GMT 2025","399","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Thu Aug 07 15:56:00 GMT 2025","Thu Aug 07 15:56:04 GMT 2025","4707","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Thu Aug 07 15:56:22 GMT 2025","Thu Aug 07 15:56:25 GMT 2025","2886","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Aug 07 15:56:25 GMT 2025","Thu Aug 07 15:56:26 GMT 2025","697","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Thu Aug 07 15:56:22 GMT 2025","Thu Aug 07 15:56:25 GMT 2025","2380","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Thu Aug 07 15:56:27 GMT 2025","Thu Aug 07 15:56:28 GMT 2025","581","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Thu Aug 07 15:57:10 GMT 2025","Thu Aug 07 15:57:21 GMT 2025","11362","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Thu Aug 07 15:56:02 GMT 2025","Thu Aug 07 15:56:57 GMT 2025","54863","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Aug 07 15:56:29 GMT 2025","Thu Aug 07 15:56:32 GMT 2025","2705","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Thu Aug 07 15:57:39 GMT 2025","Thu Aug 07 15:57:56 GMT 2025","17276","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Thu Aug 07 15:53:52 GMT 2025","Thu Aug 07 15:54:46 GMT 2025","54006","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Aug 07 15:56:22 GMT 2025","Thu Aug 07 15:56:29 GMT 2025","6924","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Aug 07 15:56:02 GMT 2025","Thu Aug 07 15:57:09 GMT 2025","66903","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Aug 07 15:56:48 GMT 2025","Thu Aug 07 15:57:36 GMT 2025","48247","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Aug 07 15:56:28 GMT 2025","Thu Aug 07 15:56:33 GMT 2025","4989","API tests","API tests","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Thu Aug 07 15:56:48 GMT 2025","Thu Aug 07 15:57:47 GMT 2025","58695","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Thu Aug 07 15:56:25 GMT 2025","Thu Aug 07 15:56:29 GMT 2025","4386","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Aug 07 15:56:26 GMT 2025","Thu Aug 07 15:56:27 GMT 2025","415","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Aug 07 15:56:32 GMT 2025","Thu Aug 07 15:56:32 GMT 2025","183","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Thu Aug 07 15:56:33 GMT 2025","Thu Aug 07 15:56:34 GMT 2025","651","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
