"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 04 19:23:46 GMT 2025","Mon Aug 04 19:24:44 GMT 2025","57738","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Aug 04 19:24:22 GMT 2025","Mon Aug 04 19:24:24 GMT 2025","2341","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Mon Aug 04 19:24:06 GMT 2025","Mon Aug 04 19:25:11 GMT 2025","64441","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Aug 04 19:24:06 GMT 2025","Mon Aug 04 19:25:23 GMT 2025","77246","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Aug 04 19:24:28 GMT 2025","Mon Aug 04 19:24:31 GMT 2025","2493","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Mon Aug 04 19:24:06 GMT 2025","Mon Aug 04 19:25:28 GMT 2025","81793","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Mon Aug 04 19:24:32 GMT 2025","Mon Aug 04 19:24:33 GMT 2025","490","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Mon Aug 04 19:23:46 GMT 2025","Mon Aug 04 19:25:00 GMT 2025","73240","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Mon Aug 04 19:23:46 GMT 2025","Mon Aug 04 19:24:59 GMT 2025","72521","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Aug 04 19:24:31 GMT 2025","Mon Aug 04 19:24:31 GMT 2025","255","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Mon Aug 04 19:24:31 GMT 2025","Mon Aug 04 19:24:32 GMT 2025","539","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Mon Aug 04 19:24:22 GMT 2025","Mon Aug 04 19:24:28 GMT 2025","6417","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Mon Aug 04 19:25:00 GMT 2025","Mon Aug 04 19:25:10 GMT 2025","10771","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Mon Aug 04 19:24:22 GMT 2025","Mon Aug 04 19:24:24 GMT 2025","2639","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Mon Aug 04 19:25:26 GMT 2025","Mon Aug 04 19:25:41 GMT 2025","15617","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Mon Aug 04 19:25:13 GMT 2025","Mon Aug 04 19:25:38 GMT 2025","25008","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Aug 04 19:24:25 GMT 2025","Mon Aug 04 19:24:25 GMT 2025","622","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Mon Aug 04 19:24:26 GMT 2025","Mon Aug 04 19:24:26 GMT 2025","426","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Mon Aug 04 19:24:31 GMT 2025","Mon Aug 04 19:24:31 GMT 2025","85","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Mon Aug 04 19:24:26 GMT 2025","Mon Aug 04 19:24:27 GMT 2025","524","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Mon Aug 04 19:24:28 GMT 2025","Mon Aug 04 19:24:36 GMT 2025","7975","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Mon Aug 04 19:24:45 GMT 2025","Mon Aug 04 19:25:05 GMT 2025","20180","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Aug 04 19:24:27 GMT 2025","Mon Aug 04 19:24:32 GMT 2025","4491","API tests","API tests","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Mon Aug 04 19:21:48 GMT 2025","Mon Aug 04 19:22:42 GMT 2025","53872","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Mon Aug 04 19:24:32 GMT 2025","Mon Aug 04 19:24:33 GMT 2025","558","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Mon Aug 04 19:24:24 GMT 2025","Mon Aug 04 19:24:28 GMT 2025","3919","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Aug 04 19:24:00 GMT 2025","Mon Aug 04 19:24:04 GMT 2025","4760","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
