"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 11:18:25 GMT 2025","Sat Aug 09 11:18:51 GMT 2025","25180","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Aug 09 11:17:23 GMT 2025","Sat Aug 09 11:17:27 GMT 2025","3799","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sat Aug 09 11:17:33 GMT 2025","Sat Aug 09 11:17:33 GMT 2025","266","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Sat Aug 09 11:17:30 GMT 2025","Sat Aug 09 11:17:31 GMT 2025","412","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Sat Aug 09 11:17:35 GMT 2025","Sat Aug 09 11:18:43 GMT 2025","68713","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Aug 09 11:17:20 GMT 2025","Sat Aug 09 11:18:43 GMT 2025","83324","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Aug 09 11:17:32 GMT 2025","Sat Aug 09 11:17:33 GMT 2025","789","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Sat Aug 09 11:17:23 GMT 2025","Sat Aug 09 11:17:30 GMT 2025","7165","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Sat Aug 09 11:17:32 GMT 2025","Sat Aug 09 11:17:36 GMT 2025","3750","API tests","API tests","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Sat Aug 09 11:17:17 GMT 2025","Sat Aug 09 11:17:21 GMT 2025","4554","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sat Aug 09 11:17:27 GMT 2025","Sat Aug 09 11:17:30 GMT 2025","2851","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Aug 09 11:17:33 GMT 2025","Sat Aug 09 11:17:33 GMT 2025","149","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Sat Aug 09 11:15:12 GMT 2025","Sat Aug 09 11:16:03 GMT 2025","50933","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Aug 09 11:17:35 GMT 2025","Sat Aug 09 11:18:45 GMT 2025","70483","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Aug 09 11:18:40 GMT 2025","Sat Aug 09 11:18:56 GMT 2025","15755","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sat Aug 09 11:18:44 GMT 2025","Sat Aug 09 11:18:55 GMT 2025","11206","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sat Aug 09 11:17:20 GMT 2025","Sat Aug 09 11:18:38 GMT 2025","77578","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
