"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 09 11:37:14 GMT 2025","Sat Aug 09 11:37:39 GMT 2025","25119","UI tests","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Aug 09 11:37:25 GMT 2025","Sat Aug 09 11:37:25 GMT 2025","373","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Sat Aug 09 11:36:07 GMT 2025","Sat Aug 09 11:37:17 GMT 2025","69387","UI tests","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Aug 09 11:37:29 GMT 2025","Sat Aug 09 11:37:29 GMT 2025","625","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Sat Aug 09 11:37:25 GMT 2025","Sat Aug 09 11:37:26 GMT 2025","508","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Aug 09 11:36:07 GMT 2025","Sat Aug 09 11:37:06 GMT 2025","58374","UI tests","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Aug 09 11:37:18 GMT 2025","Sat Aug 09 11:37:25 GMT 2025","7173","API tests","API tests","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Sat Aug 09 11:37:06 GMT 2025","Sat Aug 09 11:37:26 GMT 2025","20009","UI tests","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Aug 09 11:36:08 GMT 2025","Sat Aug 09 11:37:26 GMT 2025","77893","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Aug 09 11:37:27 GMT 2025","Sat Aug 09 11:37:27 GMT 2025","676","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Sat Aug 09 11:34:49 GMT 2025","Sat Aug 09 11:35:43 GMT 2025","54078","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Aug 09 11:37:26 GMT 2025","Sat Aug 09 11:37:26 GMT 2025","701","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Sat Aug 09 11:37:26 GMT 2025","Sat Aug 09 11:37:27 GMT 2025","680","API tests","API tests","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sat Aug 09 11:37:28 GMT 2025","Sat Aug 09 11:37:28 GMT 2025","426","API tests","API tests","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Sat Aug 09 11:36:08 GMT 2025","Sat Aug 09 11:37:33 GMT 2025","84969","UI tests","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Aug 09 11:37:27 GMT 2025","Sat Aug 09 11:37:31 GMT 2025","3868","API tests","API tests","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Sat Aug 09 11:36:08 GMT 2025","Sat Aug 09 11:37:12 GMT 2025","63817","UI tests","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
